ts_code,trade_date,open,high,low,close,volume,amount,pct_chg
002202.SZ,2026-05-12,28.06,28.07,27.01,27.27,1946375,5332489149.84,-3.16
002202.SZ,2026-05-13,27.07,27.94,26.88,27.8,1761552,4870902978.7,1.94
002202.SZ,2026-05-14,27.95,28.0,25.98,26.03,2302553,6157468712.47,-6.37
002202.SZ,2026-05-15,25.9,26.35,24.83,25.09,1736128,4393904462.03,-3.61
002202.SZ,2026-05-18,25.0,26.3,25.0,25.79,1462306,3776764679.35,2.79
002202.SZ,2026-05-19,25.56,25.73,25.13,25.42,1042342,2640378318.54,-1.43
002202.SZ,2026-05-20,25.2,25.36,24.69,25.3,1158381,2894266691.5,-0.47
002202.SZ,2026-05-21,25.49,26.09,24.61,24.73,1779915,4533514849.21,-2.25
002202.SZ,2026-05-22,24.74,25.25,24.3,25.2,1171680,2906885850.65,1.9
002202.SZ,2026-05-25,25.2,25.28,24.3,24.88,1547898,3820844183.92,-1.27
002202.SZ,2026-05-26,24.68,24.75,23.75,24.51,1479360,3576076377.25,-1.49
002202.SZ,2026-05-27,24.67,24.96,23.45,23.6,1382654,3325138800.85,-3.71
002202.SZ,2026-05-28,23.6,24.46,23.48,24.3,1336150,3210932164.71,2.97
002202.SZ,2026-05-29,24.15,24.26,23.32,23.42,1387422,3276030929.63,-3.62
002202.SZ,2026-06-01,23.88,24.08,23.37,23.46,1015201,2406303571.85,0.17
002202.SZ,2026-06-02,23.23,23.39,22.36,23.24,1147135,2632826253.66,-0.94
002202.SZ,2026-06-03,23.1,24.03,22.8,23.61,1241902,2926844096.85,1.59
002202.SZ,2026-06-04,23.35,23.75,23.2,23.63,791043,1864277505.5,0.08
